job_nm|month_pay|job_loc|co_id|co_nm|co_ownership|co_ee_size|co_link|co_industry|co_add|co_desc
房产销售总监（年入80万以上）|20001-30000|北京|CC690014028|纽兰投资咨询(上海)有限公司北京分公司|['外商独资']|['20-99人']|['http://www.neulionchina.com']|['房地产/建筑/建材/工程']|['北京市东城区东长安街1号东方广场']|[<Element div at 0x1076cef98>]
婚礼销售顾问|8001-10000|北京|CC545459223|杭州芝士心文化创意有限公司|['民营']|['100-499人']|['http://www.cheesekiss.com']|['旅游/度假,其他']|['拱墅区余杭塘路43-3号1号楼105室']|[<Element div at 0x1076cf9a8>]
初级【,】房产投资顾问【外企】|10001-15000|北京|CC690014028|纽兰投资咨询(上海)有限公司北京分公司|['外商独资']|['20-99人']|['http://www.neulionchina.com']|['房地产/建筑/建材/工程']|['北京市东城区东长安街1号东方广场']|[<Element div at 0x1076cea98>]
***,地产投资经理（高级管理岗，年入70万以上））|20001-30000|北京|CC690014028|纽兰投资咨询(上海)有限公司北京分公司|['外商独资']|['20-99人']|['http://www.neulionchina.com']|['房地产/建筑/建材/工程']|['北京市东城区东长安街1号东方广场']|[<Element div at 0x1076ce5e8>]
***【,】房产销售经理（年入50万以上）|10001-15000|北京|CC690014028|纽兰投资咨询(上海)有限公司北京分公司|['外商独资']|['20-99人']|['http://www.neulionchina.com']|['房地产/建筑/建材/工程']|['北京市东城区东长安街1号东方广场']|[<Element div at 0x1076ce598>]
高级【,】房产销售（外企/年入30万以上）|10001-15000|北京|CC690014028|纽兰投资咨询(上海)有限公司北京分公司|['外商独资']|['20-99人']|['http://www.neulionchina.com']|['房地产/建筑/建材/工程']|['北京市东城区东长安街1号东方广场']|[<Element div at 0x1076cea98>]
***高级【,】置业顾问（年入50万以上）|10001-15000|北京|CC690014028|纽兰投资咨询(上海)有限公司北京分公司|['外商独资']|['20-99人']|['http://www.neulionchina.com']|['房地产/建筑/建材/工程']|['北京市东城区东长安街1号东方广场']|[<Element div at 0x1076ce688>]
高级,房产置业经理（年入70万以上）|15001-20000|北京|CC690014028|纽兰投资咨询(上海)有限公司北京分公司|['外商独资']|['20-99人']|['http://www.neulionchina.com']|['房地产/建筑/建材/工程']|['北京市东城区东长安街1号东方广场']|[<Element div at 0x1076ce598>]
房产高级销售经理|10001-15000|北京|CC690014028|纽兰投资咨询(上海)有限公司北京分公司|['外商独资']|['20-99人']|['http://www.neulionchina.com']|['房地产/建筑/建材/工程']|['北京市东城区东长安街1号东方广场']|[<Element div at 0x1076ce5e8>]
高级,不动产销售（年入30万以上）|10001-15000|北京|CC690014028|纽兰投资咨询(上海)有限公司北京分公司|['外商独资']|['20-99人']|['http://www.neulionchina.com']|['房地产/建筑/建材/工程']|['北京市东城区东长安街1号东方广场']|[<Element div at 0x1076ce598>]
展览业务全项（能,出差者）|4001-6000|北京|CC600851421|北京亚优国际展览有限公司|['合资']|['20-99人']|['http://www.asiaspace.net/']|['广告/会展/公关,中介服务']|['北京市朝阳区东四环中路41号嘉泰国际大厦B座1407']|[<Element div at 0x1076cea98>]
房产职业顾问经理|10001-15000|北京|CC463348881|瑞安伟业(北京)置业咨询有限公司|['外商独资']|['20-99人']|[]|['北京市朝阳区光华路7号汉威大厦西区3B15']|[]|[<Element div at 0x1076ce688>]
投资顾问/,不动产顾问|6001-8000|北京|CC463348881|瑞安伟业(北京)置业咨询有限公司|['外商独资']|['20-99人']|[]|['北京市朝阳区光华路7号汉威大厦西区3B15']|[]|[<Element div at 0x1076ce598>]
人事专员（英语方向）(SHQQ0341)|6000-8000|北京|CC512975535|上海启前电子科技有限公司|['民营']|['100-499人']|[]|['上海市嘉定区南翔镇美裕路600号3幢J257室']|[]|[<Element div at 0x106baee58>]
项目经理|7000-13000|北京|CC143532323|北京中恒远策信息咨询有限公司|['民营']|['20-99人']|['http://www.topbrain.cn']|['基金/证券/期货/投资,专业服务/咨询(财会/法律/人力资源等)']|['北京市大兴区西红门嘉悦广场7号楼601#、602#']|[<Element div at 0x107677458>]
